,Sample_id,Carbon source,Hours,AUC [gDW*h/L],Bioreactor,Timepoint,Metabolite,Z-score
180,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,10.0,1.4313031841181596,REL04,3,2-hydroxyglutaric acid,0.5341285767214936
181,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,16.0,1.224938952181199,REL07,2,2-hydroxyglutaric acid,0.4721445013595515
182,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,12.0,2.865121839561659,REL04,4,2-hydroxyglutaric acid,0.7546591678380962
183,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,6.0,0.3027227371464714,REL01,1,2-hydroxyglutaric acid,-0.8398387385084319
184,SM_MPTA_112023_M9_Galactose_001_40,Galactose,0.0,0.0,,0,2-hydroxyglutaric acid,
185,SM_MPTA_112023_M9_L-alanine_001_37,L-alanine,0.0,0.0,,0,2-hydroxyglutaric acid,
186,SM_MPTA_112023_M9_Galactose_002_41,Galactose,0.0,0.0,,0,2-hydroxyglutaric acid,
187,SM_MPTA_112023_64_Galactose-T14_M1_7,Galactose,14.0,3.657264738592213,REL01,3,2-hydroxyglutaric acid,
188,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,10.0,0.3182352285057104,REL07,1,2-hydroxyglutaric acid,-0.6925957147290127
189,SM_MPTA_112023_32_L-malate-T6_M6_14,L-malate,6.0,0.1847473940054876,REL05,1,2-hydroxyglutaric acid,-0.7739839720783412
190,SM_MPTA_112023_55_Galactose-T12_M1_4,Galactose,12.0,2.122869171591218,REL01,2,2-hydroxyglutaric acid,-0.3599028980508207
191,SM_MPTA_112023_29_Galactose-T6_M2_2,Galactose,6.0,0.3061863840245775,REL02,1,2-hydroxyglutaric acid,-0.8402353614797823
192,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,22.0,3.9376424130469174,REL09,4,2-hydroxyglutaric acid,0.970446455997124
193,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,11.0,1.4913949991123805,REL05,3,2-hydroxyglutaric acid,0.597879141128937
