,Carbon source,Phase,Metabolite,Intracellular concentration [uM],Error [uM],SEM [uM],# values,idx concentration sheet,Min,Max,LB,Min LB,UB,Max UB
183,Galactose,Exponential,Leucine,162.55,43.727344249463755,22.309869515032528,5.0,"141,142,145,146,147",85.08333333333333,219.0,118.82265575053626,70.38985136035646,206.27734424946377,548.0
184,Galactose,Stationary,Lysine,361.0,0.0,0.0,1.0,151,361.0,361.0,361.0,361.0,361.0,361.0
185,Galactose,Exponential,Lysine,512.2333333333333,145.19448109499356,74.0788168852008,5.0,"149,152,153,154,155",327.50000000000006,762.0,367.0388522383398,231.0777262272777,657.4278144283269,1060.0
186,Galactose,Stationary,Malate,1832.8666666666668,1334.0284107476039,680.6267401773489,5.0,"161,160,159,158,157",341.8333333333333,3450.0,498.83825591906293,308.16764291844487,3166.8950774142704,3890.0
187,Galactose,Exponential,Malate,1832.8666666666668,1334.0284107476039,680.6267401773489,5.0,"161,160,159,158,157",341.8333333333333,3450.0,498.83825591906293,308.16764291844487,3166.8950774142704,3890.0
188,Galactose,Stationary,Methionine,30.3,0.0,0.0,1.0,171,30.3,30.3,30.3,30.3,30.3,30.3
189,Galactose,Exponential,Methionine,98.74666666666667,31.82669830008203,16.238111377592872,5.0,"166,164,163,167,168",65.9,145.0,66.91996836658464,43.8,130.5733649667487,168.0
190,Galactose,Stationary,NAD,2171.5,2701.8599999999997,1378.4999999999998,2.0,"172,176",793.0,3550.0,-530.3599999999997,793.0,4873.36,3769.0
191,Galactose,Exponential,NAD,2099.666666666667,1246.027768978953,635.7284535606904,5.0,"178,177,175,174,173",581.6666666666666,4080.000000000001,853.638897687714,514.6402705396349,3345.6944356456197,13000.0
192,Galactose,Stationary,Phenylalanine,65.7,0.0,0.0,1.0,189,65.7,65.7,65.7,65.7,65.7,65.7
193,Galactose,Exponential,Phenylalanine,56.06,40.75560886476582,20.793677992227458,5.0,"183,187,188,186,184",18.2,134.76666666666668,15.304391135234184,17.7,96.81560886476582,223.85805169973884
194,Galactose,Stationary,Pipecolic acid,6.05,0.0,0.0,1.0,199,6.05,6.05,6.05,6.05,6.05,6.05
195,Galactose,Exponential,Pipecolic acid,6.05,0.0,0.0,1.0,199,6.05,6.05,6.05,6.05,6.05,6.05
196,Galactose,Stationary,Proline,143.0,0.0,0.0,1.0,202,143.0,143.0,143.0,143.0,143.0,143.0
197,Galactose,Exponential,Proline,283.83333333333337,141.71784935803487,72.30502518267085,5.0,"200,201,206,207,208",91.83333333333334,451.0,142.1154839752985,87.6340463568204,425.55118269136824,505.0
198,Galactose,Stationary,Pyruvate,8050.0,0.0,0.0,1.0,213,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
199,Galactose,Exponential,Pyruvate,8050.0,0.0,0.0,1.0,213,8050.0,8050.0,8050.0,8050.0,8050.0,8050.0
