,Sample ID,Strain,Hours,OD600,Replicate
1229,3C,lacA,94.74999999994179,,C
1230,4A,nuoA,94.74999999994179,,A
1231,4B,nuoA,94.74999999994179,,B
1232,4C,nuoA,94.74999999994179,,C
1233,5A,pgi,94.74999999994179,,A
1234,5B,pgi,94.74999999994179,,B
1235,5C,pgi,94.74999999994179,,C
1236,6A,rpe,94.74999999994179,,A
1237,6B,rpe,94.74999999994179,,B
1238,6C,rpe,94.74999999994179,,C
1239,7A,sdhB,94.74999999994179,,A
1240,7B,sdhB,94.74999999994179,,B
1241,7C,sdhB,94.74999999994179,,C
1242,8A,sucB,94.74999999994179,,A
1243,8B,sucB,94.74999999994179,,B
1244,8C,sucB,94.74999999994179,,C
1245,9A,tpiA,94.74999999994179,,A
1246,9B,tpiA,94.74999999994179,,B
1247,9C,tpiA,94.74999999994179,,C
1248,10A,zwf,94.74999999994179,,A
1249,10B,zwf,94.74999999994179,,B
1250,10C,zwf,94.74999999994179,,C
1251,11A,WT,94.74999999994179,,A
1252,11B,WT,94.74999999994179,,B
1253,11C,WT,94.74999999994179,,C
1254,1A,aceE,95.74999999988358,1.487,A
1255,1B,aceE,95.74999999988358,0.93,B
1256,1C,aceE,95.74999999988358,1.5,C
1257,2A,cyoD,95.74999999988358,,A
1258,2B,cyoD,95.74999999988358,,B
1259,2C,cyoD,95.74999999988358,,C
1260,3A,lacA,95.74999999988358,,A
1261,3B,lacA,95.74999999988358,,B
1262,3C,lacA,95.74999999988358,,C
1263,4A,nuoA,95.74999999988358,,A
1264,4B,nuoA,95.74999999988358,,B
1265,4C,nuoA,95.74999999988358,,C
1266,5A,pgi,95.74999999988358,,A
1267,5B,pgi,95.74999999988358,,B
1268,5C,pgi,95.74999999988358,,C
1269,6A,rpe,95.74999999988358,,A
1270,6B,rpe,95.74999999988358,,B
1271,6C,rpe,95.74999999988358,,C
1272,7A,sdhB,95.74999999988358,,A
1273,7B,sdhB,95.74999999988358,,B
1274,7C,sdhB,95.74999999988358,,C
1275,8A,sucB,95.74999999988358,,A
1276,8B,sucB,95.74999999988358,,B
1277,8C,sucB,95.74999999988358,,C
1278,9A,tpiA,95.74999999988358,,A
1279,9B,tpiA,95.74999999988358,,B
1280,9C,tpiA,95.74999999988358,,C
1281,10A,zwf,95.74999999988358,,A
1282,10B,zwf,95.74999999988358,,B
1283,10C,zwf,95.74999999988358,,C
1284,11A,WT,95.74999999988358,,A
1285,11B,WT,95.74999999988358,,B
1286,11C,WT,95.74999999988358,,C
1287,1A,aceE,96.83333333325572,1.48,A
1288,1B,aceE,96.83333333325572,1.019,B
1289,1C,aceE,96.83333333325572,1.513,C
1290,2A,cyoD,96.83333333325572,,A
1291,2B,cyoD,96.83333333325572,,B
1292,2C,cyoD,96.83333333325572,,C
1293,3A,lacA,96.83333333325572,,A
1294,3B,lacA,96.83333333325572,,B
1295,3C,lacA,96.83333333325572,,C
1296,4A,nuoA,96.83333333325572,,A
1297,4B,nuoA,96.83333333325572,,B
1298,4C,nuoA,96.83333333325572,,C
1299,5A,pgi,96.83333333325572,,A
1300,5B,pgi,96.83333333325572,,B
1301,5C,pgi,96.83333333325572,,C
1302,6A,rpe,96.83333333325572,,A
1303,6B,rpe,96.83333333325572,,B
1304,6C,rpe,96.83333333325572,,C
1305,7A,sdhB,96.83333333325572,,A
1306,7B,sdhB,96.83333333325572,,B
1307,7C,sdhB,96.83333333325572,,C
1308,8A,sucB,96.83333333325572,,A
1309,8B,sucB,96.83333333325572,,B
1310,8C,sucB,96.83333333325572,,C
1311,9A,tpiA,96.83333333325572,,A
1312,9B,tpiA,96.83333333325572,,B
1313,9C,tpiA,96.83333333325572,,C
1314,10A,zwf,96.83333333325572,,A
1315,10B,zwf,96.83333333325572,,B
1316,10C,zwf,96.83333333325572,,C
1317,11A,WT,96.83333333325572,,A
1318,11B,WT,96.83333333325572,,B
1319,11C,WT,96.83333333325572,,C
1320,1A,aceE,97.99999999988358,1.521,A
1321,1B,aceE,97.99999999988358,1.115,B
1322,1C,aceE,97.99999999988358,1.492,C
1323,2A,cyoD,97.99999999988358,,A
1324,2B,cyoD,97.99999999988358,,B
1325,2C,cyoD,97.99999999988358,,C
1326,3A,lacA,97.99999999988358,,A
1327,3B,lacA,97.99999999988358,,B
1328,3C,lacA,97.99999999988358,,C
1329,4A,nuoA,97.99999999988358,,A
1330,4B,nuoA,97.99999999988358,,B
1331,4C,nuoA,97.99999999988358,,C
1332,5A,pgi,97.99999999988358,,A
1333,5B,pgi,97.99999999988358,,B
1334,5C,pgi,97.99999999988358,,C
1335,6A,rpe,97.99999999988358,,A
1336,6B,rpe,97.99999999988358,,B
1337,6C,rpe,97.99999999988358,,C
1338,7A,sdhB,97.99999999988358,,A
1339,7B,sdhB,97.99999999988358,,B
1340,7C,sdhB,97.99999999988358,,C
1341,8A,sucB,97.99999999988358,,A
1342,8B,sucB,97.99999999988358,,B
1343,8C,sucB,97.99999999988358,,C
1344,9A,tpiA,97.99999999988358,,A
1345,9B,tpiA,97.99999999988358,,B
1346,9C,tpiA,97.99999999988358,,C
1347,10A,zwf,97.99999999988358,,A
1348,10B,zwf,97.99999999988358,,B
1349,10C,zwf,97.99999999988358,,C
1350,11A,WT,97.99999999988358,,A
1351,11B,WT,97.99999999988358,,B
1352,11C,WT,97.99999999988358,,C
1353,1A,aceE,108.0,1.538,A
1354,1B,aceE,108.0,1.433,B
1355,1C,aceE,108.0,1.515,C
1356,2A,cyoD,108.0,1.743,A
1357,2B,cyoD,108.0,1.735,B
1358,2C,cyoD,108.0,1.899,C
1359,3A,lacA,108.0,1.775,A
1360,3B,lacA,108.0,1.725,B
1361,3C,lacA,108.0,1.733,C
1362,4A,nuoA,108.0,1.945,A
1363,4B,nuoA,108.0,1.963,B
1364,4C,nuoA,108.0,1.982,C
1365,5A,pgi,108.0,1.816,A
1366,5B,pgi,108.0,1.762,B
1367,5C,pgi,108.0,1.758,C
1368,6A,rpe,108.0,1.78,A
1369,6B,rpe,108.0,1.77,B
1370,6C,rpe,108.0,1.797,C
1371,7A,sdhB,108.0,2.105,A
1372,7B,sdhB,108.0,2.048,B
1373,7C,sdhB,108.0,2.074,C
1374,8A,sucB,108.0,1.931,A
1375,8B,sucB,108.0,1.891,B
1376,8C,sucB,108.0,1.887,C
1377,9A,tpiA,108.0,1.762,A
1378,9B,tpiA,108.0,1.77,B
1379,9C,tpiA,108.0,1.771,C
1380,10A,zwf,108.0,1.847,A
1381,10B,zwf,108.0,1.87,B
1382,10C,zwf,108.0,1.703,C
1383,11A,WT,108.0,1.726,A
1384,11B,WT,108.0,1.727,B
1385,11C,WT,108.0,1.732,C
