,Sample_ID,Carbon source,Metabolite,Concentration [uM],Hours,Timepoint,Bioreactor
198,SM_MPTA_112023_49_L-malate-T10_M5_19,L-malate,GAMMA-AMINOBUTYRATE,1.036829779807868,10.0,3,M5
199,SM_MPTA_112023_134_L-malate-T11_M6_20,L-malate,GAMMA-AMINOBUTYRATE,0.290456994158628,11.0,3,M6
200,SM_MPTA_112023_51_L-malate-T10_M7_21,L-malate,GAMMA-AMINOBUTYRATE,1.25180021200564,10.0,3,M7
201,SM_MPTA_112023_58_L-malate-T12_M5_22,L-malate,GAMMA-AMINOBUTYRATE,,12.0,4,M5
202,SM_MPTA_112023_143_L-malate-T13_M6_23,L-malate,GAMMA-AMINOBUTYRATE,0.168818021094134,13.0,4,M6
203,SM_MPTA_112023_60_L-malate-T12_M7_24,L-malate,GAMMA-AMINOBUTYRATE,0.253754772415762,12.0,4,M7
204,SM_MPTA_112023_52_L-alanine-T10_M9_25,L-alanine,GAMMA-AMINOBUTYRATE,2.6730239360594803,10.0,1,M9
205,SM_MPTA_112023_53_L-alanine-T10_M10_26,L-alanine,GAMMA-AMINOBUTYRATE,3.52431543313478,10.0,1,M10
206,SM_MPTA_112023_54_L-alanine-T10_M11_27,L-alanine,GAMMA-AMINOBUTYRATE,2.02035144722212,10.0,1,M11
207,SM_MPTA_112023_79_L-alanine-T16_M9_28,L-alanine,GAMMA-AMINOBUTYRATE,9.4231675249404,16.0,2,M9
208,SM_MPTA_112023_80_L-alanine-T16_M10_29,L-alanine,GAMMA-AMINOBUTYRATE,10.864381729768139,16.0,2,M10
209,SM_MPTA_112023_81_L-alanine-T16_M11_30,L-alanine,GAMMA-AMINOBUTYRATE,8.19041600693034,16.0,2,M11
210,SM_MPTA_112023_88_L-alanine-T18_M9_31,L-alanine,GAMMA-AMINOBUTYRATE,4.3954099042329,18.0,3,M9
211,SM_MPTA_112023_89_L-alanine-T18_M10_32,L-alanine,GAMMA-AMINOBUTYRATE,8.681101641904899,18.0,3,M10
212,SM_MPTA_112023_90_L-alanine-T18_M11_33,L-alanine,GAMMA-AMINOBUTYRATE,7.17355614674068,18.0,3,M11
213,SM_MPTA_112023_106_L-alanine-T22_M9_34,L-alanine,GAMMA-AMINOBUTYRATE,,22.0,4,M9
214,SM_MPTA_112023_107_L-alanine-T22_M10_35,L-alanine,GAMMA-AMINOBUTYRATE,,22.0,4,M10
215,SM_MPTA_112023_108_L-alanine-T22_M11_36,L-alanine,GAMMA-AMINOBUTYRATE,0.1603594837114858,22.0,4,M11
216,SM_MPTA_112023_ FreshMedia_M9 Alanine_001_37,L-alanine,GAMMA-AMINOBUTYRATE,,0.0,0,Alanine_001
217,SM_MPTA_112023_ FreshMedia_M9 Alanine_002_38,L-alanine,GAMMA-AMINOBUTYRATE,,0.0,0,Alanine_002
218,SM_MPTA_112023_ FreshMedia_M9 Alanine_003_39,L-alanine,GAMMA-AMINOBUTYRATE,,0.0,0,Alanine_003
219,SM_MPTA_112023_ FreshMedia_M9 Galactose_001_40,Galactose,GAMMA-AMINOBUTYRATE,,0.0,0,Galactose_001
220,SM_MPTA_112023_ FreshMedia_M9 Galactose_002_41,Galactose,GAMMA-AMINOBUTYRATE,0.0282050175839298,0.0,0,Galactose_002
221,SM_MPTA_112023_ FreshMedia_M9 Galactose_003_42,Galactose,GAMMA-AMINOBUTYRATE,,0.0,0,Galactose_003
222,SM_MPTA_112023_ FreshMedia_M9 malate_001_43,L-malate,GAMMA-AMINOBUTYRATE,,0.0,0,malate_001
223,SM_MPTA_112023_ FreshMedia_M9 malate_002_44,L-malate,GAMMA-AMINOBUTYRATE,,0.0,0,malate_002
224,SM_MPTA_112023_ FreshMedia_M9 malate_003_45,L-malate,GAMMA-AMINOBUTYRATE,,0.0,0,malate_003
225,SM_MPTA_112023_28_Galactose-T6_M1_1,Galactose,PROLINE,,6.0,1,M1
