Name,ionMz
1-Palmitoylglycerol 3-phosphate,409.2338
"6-Phospho-beta-glucosyl-(1,4)-glucose",421.0743
Cellobiose-6-phosphate,421.0743
Maltose 6'-phosphate,421.0743
Sucrose-6-phosphate,421.0743
"alpha,alpha'-Trehalose 6-phosphate",421.0743
"alpha,alpha-Trehalose 6-phosphate",421.0743
2'-Deoxyinosine triphosphate,490.9787
dITP,490.9787
UDP-Glucuronic acid,579.0269
Uridine diphosphate glucuronic acid,579.0269
UDP-glucuronate,579.0269
Ferroxamine,612.2549
Coproporphyrinogen III,659.307
Coproporphyrinogen I,659.307
Nicotinamide hypoxanthine dinucleotide,664.0939
Nicotinic acid adenine dinucleotide,664.0939
Enterochelin,668.1374
UDP-3-O-(3-Hydroxytetradecanoyl)-glucosamine,790.2568
UDP-3-O-(3-hydroxytetradecanoyl)-D-glucosamine,790.2568
"P1,P4-Bis(5'-adenosyl)tetraphosphate",835.0407
Precorrin 1,849.2765
Ubiquinone-10,861.6729
Precorrin 2,863.2971
trans-Tetradec-2-enoyl-CoA,974.2935
undecaprenyl phosphate-4-amino-4-deoxy-arabinose,976.7162
