sid	smiles	kingdom	superklass	klass	subklass	direct_parent	geometric_descriptor	alternative parents	substituents
	N[C@@H](CCSC[C@H](N)C(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Cysteine and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Carbonyl compounds;Carboxylic acids;Dialkylthioethers;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Sulfenyl compounds;Thia fatty acids	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Sulfenyl compound;Dialkylthioether;Fatty acid;Organosulfur compound;Organic oxide;Thia fatty acid;Organic oxygen compound;Thioether;Cysteine or derivatives;Organonitrogen compound;Alpha-amino acid;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	NC1=NC=NC2=C1N=CN2[C@H]1C[C@H](O)[C@@H](CO)O1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine 2'-deoxyribonucleosides	Purine 2'-deoxyribonucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Imidolactams;Monosaccharides;N-substituted imidazoles;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Purines and purine derivatives;Pyrimidines and pyrimidine derivatives;Secondary alcohols;Tetrahydrofurans	Monosaccharide;Imidazopyrimidine;Pyrimidine;Saccharide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Imidolactam;Purine 2'-deoxyribonucleoside;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Azacycle;Tetrahydrofuran;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hydrocarbon derivative;Primary amine;Purine;Organic nitrogen compound;Amine;Organooxygen compound
	OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic acyclic compounds	Hydrocarbon derivatives;Primary alcohols;Secondary alcohols	Alcohol;Aliphatic acyclic compound;Secondary alcohol;Monosaccharide;Hydrocarbon derivative;Primary alcohol
	CCO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Alcohols and polyols	Aliphatic acyclic compounds	Hydrocarbon derivatives	Alcohol;Aliphatic acyclic compound;Hydrocarbon derivative
	OCCN(CC(O)CO)P(O)(O)=O	Organic compounds	Organic acids and derivatives	Organic phosphoric acids and derivatives	Organic phosphoramides	Organic phosphoramides	Aliphatic acyclic compounds	Alkanolamines;Hydrocarbon derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Primary alcohols;Secondary alcohols	Alcohol;Aliphatic acyclic compound;Organic oxide;Organic oxygen compound;Organonitrogen compound;Secondary alcohol;Organopnictogen compound;Hydrocarbon derivative;Organic nitrogen compound;Primary alcohol;Organic phosphoric acid amide;Organooxygen compound;Alkanolamine
	OC(=O)C=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	Aliphatic acyclic compounds	Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Short-chain aldehydes	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Monocarboxylic acid or derivatives;Short-chain aldehyde;Carboxylic acid;Organic oxygen compound;Aldehyde;Hydrocarbon derivative;Organooxygen compound
	NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glutamic acid and derivatives	Aromatic heteropolycyclic compounds	Alpha amino acids;Amino acids;Azacyclic compounds;Benzoyl derivatives;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Heteroaromatic compounds;Hippuric acids and derivatives;Hydrocarbon derivatives;N-acyl-alpha amino acids;Organic oxides;Organopnictogen compounds;Phenylalkylamines;Primary amines;Pterins and derivatives;Pyrazines;Pyrimidones;Secondary alkylarylamines;Secondary carboxylic acid amides;Vinylogous amides	Monocyclic benzene moiety;Carbonyl group;Carboxylic acid;Amino acid;Benzoyl;Pyrimidone;Pteridine;Benzamide;Pyrimidine;Organic oxide;Aromatic heteropolycyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Organoheterocyclic compound;N-acyl-alpha amino acid or derivatives;Vinylogous amide;Pterin;Azacycle;N-acyl-alpha-amino acid;Hippuric acid or derivatives;Heteroaromatic compound;Benzoic acid or derivatives;Glutamic acid or derivatives;Secondary amine;Carboxamide group;Secondary aliphatic/aromatic amine;Secondary carboxylic acid amide;Organic oxygen compound;Pyrazine;Dicarboxylic acid or derivatives;Phenylalkylamine;Hydrocarbon derivative;Benzenoid;Primary amine;Organic nitrogen compound;Amine;Organooxygen compound
	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Oxane;Primary alcohol;Organoheterocyclic compound
	NCC(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alpha amino acids	Aliphatic acyclic compounds	Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Hexose phosphates	Aliphatic acyclic compounds	Acyloins;Alpha-hydroxy ketones;Beta-hydroxy ketones;Hydrocarbon derivatives;Monoalkyl phosphates;Monosaccharides;Organic oxides;Secondary alcohols	Alcohol;Beta-hydroxy ketone;Aliphatic acyclic compound;Carbonyl group;Alpha-hydroxy ketone;Ketone;Organic oxide;Phosphoric acid ester;Monoalkyl phosphate;Acyloin;Secondary alcohol;Hexose Phosphate;Hydrocarbon derivative;Organic phosphoric acid derivative;Alkyl phosphate
	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Oligopeptides	Aliphatic acyclic compounds	Acyl glycines;Alkylthiols;Alpha amino acid amides;Alpha amino acids;Carbonyl compounds;Carboxylic acids;Cysteine and derivatives;Dicarboxylic acids and derivatives;Fatty acids and conjugates;Glutamine and derivatives;Hydrocarbon derivatives;Monoalkylamines;N-acyl amines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Organosulfur compounds;Secondary carboxylic acid amides	Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Glutamine or derivatives;Fatty amide;Fatty acid;Alpha-amino acid or derivatives;Organosulfur compound;Organic oxide;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;N-acyl-alpha amino acid or derivatives;Alpha-amino acid amide;N-acyl-alpha-amino acid;Carboxamide group;N-acyl-amine;N-acylglycine;N-substituted-alpha-amino acid;Secondary carboxylic acid amide;Organic oxygen compound;Cysteine or derivatives;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Alpha-oligopeptide;Organic nitrogen compound;Alkylthiol;Organooxygen compound
	OC[C@@H](O)COP(O)(O)=O	Organic compounds	Lipids and lipid-like molecules	Glycerophospholipids	Glycerophosphates	Glycerophosphates	Aliphatic acyclic compounds	1,2-diols;Hydrocarbon derivatives;Monoalkyl phosphates;Organic oxides;Primary alcohols;Secondary alcohols	Alcohol;Aliphatic acyclic compound;Sn-glycerol-3-phosphate;Organic oxide;Organic oxygen compound;Phosphoric acid ester;Monoalkyl phosphate;Secondary alcohol;Hydrocarbon derivative;Primary alcohol;Organic phosphoric acid derivative;Alkyl phosphate;Organooxygen compound;1,2-diol
	OCC(O)CO	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Secondary alcohols	Aliphatic acyclic compounds	Hydrocarbon derivatives;Primary alcohols	Aliphatic acyclic compound;Secondary alcohol;Hydrocarbon derivative;Primary alcohol
	NC1=NC(=O)C2=C(N1)N=CN2	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Hypoxanthines	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Imidazoles;Organic oxides;Organooxygen compounds;Organopnictogen compounds;Primary amines;Purines and purine derivatives;Pyrimidones;Vinylogous amides	Vinylogous amide;Azacycle;Heteroaromatic compound;Pyrimidone;Pyrimidine;Organic oxide;Organic oxygen compound;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Hypoxanthine;Hydrocarbon derivative;Primary amine;Organic nitrogen compound;Amine;Organooxygen compound;Azole
	NC1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(=O)N1	Organic compounds	Nucleosides, nucleotides, and analogues	Purine nucleosides	Purine nucleosides	Purine nucleosides	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hypoxanthines;Imidazoles;Lactams;Monosaccharides;N-substituted imidazoles;Organic oxides;Organopnictogen compounds;Oxacyclic compounds;Primary alcohols;Primary amines;Purines and purine derivatives;Pyrimidones;Secondary alcohols;Tetrahydrofurans;Vinylogous amides	Lactam;Monosaccharide;Pyrimidone;Imidazopyrimidine;Pyrimidine;Saccharide;Organic oxide;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Primary alcohol;Organoheterocyclic compound;Azole;N-substituted imidazole;Alcohol;Vinylogous amide;Azacycle;Tetrahydrofuran;Purine nucleoside;Heteroaromatic compound;Oxacycle;Organic oxygen compound;Secondary alcohol;Hypoxanthine;Hydrocarbon derivative;Primary amine;Purine;Organic nitrogen compound;Amine;Organooxygen compound
	OC=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Carboxylic acids	Carboxylic acids	Aliphatic acyclic compounds	Carbonyl compounds;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides	Aliphatic acyclic compound;Carbonyl group;Organic oxide;Monocarboxylic acid or derivatives;Carboxylic acid;Organic oxygen compound;Hydrocarbon derivative;Organooxygen compound
	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Monosaccharides	Aliphatic heteromonocyclic compounds	Hemiacetals;Hydrocarbon derivatives;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Monosaccharide;Oxacycle;Aliphatic heteromonocyclic compound;Secondary alcohol;Hemiacetal;Hydrocarbon derivative;Oxane;Primary alcohol;Organoheterocyclic compound
	N[C@@H](CCC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Glutamic acid and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Fatty acids and conjugates;Hydrocarbon derivatives;Monoalkylamines;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Fatty acid;Glutamic acid or derivatives;Organic oxide;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Dicarboxylic acid or derivatives;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	NCCO	Organic compounds	Organic nitrogen compounds	Organonitrogen compounds	Amines	Alkanolamines	Aliphatic acyclic compounds	Alcohols and polyols;Hydrocarbon derivatives;Monoalkylamines;Organonitrogen compounds;Organopnictogen compounds	Alcohol;Aliphatic acyclic compound;Organic oxygen compound;Organopnictogen compound;Hydrocarbon derivative;Primary aliphatic amine;Organooxygen compound;Alkanolamine
	OC[C@H]1OC(=O)[C@H](O)[C@@H](O)[C@@H]1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Carbohydrates and carbohydrate conjugates	Gluconolactones	Aliphatic heteromonocyclic compounds	Carbonyl compounds;Carboxylic acid esters;Delta valerolactones;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Monosaccharides;Organic oxides;Oxacyclic compounds;Oxanes;Primary alcohols;Secondary alcohols	Alcohol;Carbonyl group;Delta valerolactone;Carboxylic acid derivative;Lactone;Oxacycle;Organic oxide;Monocarboxylic acid or derivatives;Gluconolactone;Carboxylic acid ester;Aliphatic heteromonocyclic compound;Secondary alcohol;Hydrocarbon derivative;Oxane;Primary alcohol;Delta_valerolactone;Organoheterocyclic compound
	O[C@@H](CC(O)=O)C(O)=O	Organic compounds	Organic acids and derivatives	Hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Beta hydroxy acids and derivatives	Aliphatic acyclic compounds	Alpha hydroxy acids and derivatives;Carbonyl compounds;Carboxylic acids;Dicarboxylic acids and derivatives;Hydrocarbon derivatives;Hydroxy fatty acids;Organic oxides;Secondary alcohols;Short-chain hydroxy acids and derivatives	Alcohol;Fatty acyl;Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Short-chain hydroxy acid;Alpha-hydroxy acid;Fatty acid;Carboxylic acid derivative;Beta-hydroxy acid;Organic oxide;Organic oxygen compound;Secondary alcohol;Dicarboxylic acid or derivatives;Hydrocarbon derivative;Hydroxy fatty acid;Organooxygen compound
	OC1=NC=NC2=C1NC=N2	Organic compounds	Organoheterocyclic compounds	Imidazopyrimidines	Purines and purine derivatives	Purines and purine derivatives	Aromatic heteropolycyclic compounds	Azacyclic compounds;Heteroaromatic compounds;Hydrocarbon derivatives;Hydroxypyrimidines;Imidazoles;Organonitrogen compounds;Organooxygen compounds;Organopnictogen compounds	Azacycle;Heteroaromatic compound;Hydroxypyrimidine;Pyrimidine;Organic oxygen compound;Aromatic heteropolycyclic compound;Imidazole;Organonitrogen compound;Organopnictogen compound;Hydrocarbon derivative;Purine;Organic nitrogen compound;Organooxygen compound;Azole
	N[C@@H](CC1=CC=C(O)C=C1)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Tyrosine and derivatives	Aromatic homomonocyclic compounds	1-hydroxy-2-unsubstituted benzenoids;Alpha amino acids;Amphetamines and derivatives;Benzene and substituted derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Phenylalanine and derivatives;Phenylpropanoic acids	Monocyclic benzene moiety;Carbonyl group;Carboxylic acid;Tyrosine or derivatives;3-Phenylpropanoic-acid;1-hydroxy-2-unsubstituted benzenoid;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Phenylalanine or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Phenol;Hydrocarbon derivative;Benzenoid;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound;Amphetamine or derivatives
	N[C@@H](CC1=CC=CC=C1)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Phenylalanine and derivatives	Aromatic homomonocyclic compounds	Alpha amino acids;Amphetamines and derivatives;Benzene and substituted derivatives;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds;Phenylpropanoic acids	Monocyclic benzene moiety;Carbonyl group;Carboxylic acid;3-Phenylpropanoic-acid;Aromatic homomonocyclic compound;Organic oxide;Monocarboxylic acid or derivatives;Phenylalanine or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Hydrocarbon derivative;Benzenoid;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound;Amphetamine or derivatives
	OC1C(O)C(O)C(O)C(O)C1O	Organic compounds	Organic oxygen compounds	Organooxygen compounds	Alcohols and polyols	Cyclohexanols	Aliphatic homomonocyclic compounds	Cyclitols and derivatives;Hydrocarbon derivatives	Cyclohexanol;Aliphatic homomonocyclic compound;Cyclitol or derivatives;Hydrocarbon derivative;Cyclic alcohol
	C[C@H](N)C(O)=O	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Alanine and derivatives	Aliphatic acyclic compounds	Alpha amino acids;Carbonyl compounds;Carboxylic acids;Hydrocarbon derivatives;Monoalkylamines;Monocarboxylic acids and derivatives;Organic oxides;Organonitrogen compounds;Organopnictogen compounds	Aliphatic acyclic compound;Carbonyl group;Carboxylic acid;Organic oxide;Monocarboxylic acid or derivatives;Organic oxygen compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Alanine or derivatives;Hydrocarbon derivative;Primary aliphatic amine;Organic nitrogen compound;Organooxygen compound
	OC(=O)[C@@H]1CCCN1	Organic compounds	Organic acids and derivatives	Carboxylic acids and derivatives	Amino acids, peptides, and analogues	Proline and derivatives	Aliphatic heteromonocyclic compounds	Alpha amino acids;Amino acids;Azacyclic compounds;Carbonyl compounds;Carboxylic acids;Dialkylamines;Hydrocarbon derivatives;Monocarboxylic acids and derivatives;Organic oxides;Organopnictogen compounds;Pyrrolidine carboxylic acids	Carbonyl group;Carboxylic acid;Amino acid;Organic oxide;Pyrrolidine carboxylic acid;Aliphatic heteromonocyclic compound;Organonitrogen compound;Alpha-amino acid;Organopnictogen compound;Pyrrolidine;Organoheterocyclic compound;Proline or derivatives;Secondary aliphatic amine;Azacycle;Secondary amine;Monocarboxylic acid or derivatives;Pyrrolidine carboxylic acid or derivatives;Organic oxygen compound;Hydrocarbon derivative;Organic nitrogen compound;Organooxygen compound;Amine
