kegg_id,metabolite_ids,Metabolite value
C19846,M_pmeACP_c,
C00154,M_pmtcoa_c,0.9380479089973859
C00864,M_pnto__R_c,0.18349618517503608
C20249,M_poaac_c,0.05524357469822716
C00479,M_ppal_c,
C02876,M_ppap_c,0.03468281019891606
C00931,M_ppbng_c,0.37474805676768197
C00100,M_ppcoa_c,0.6742810028850799
C01228,M_ppgpp_c,0.228522489936811
C00254,M_pphn_c,0.09782711433193869
C00013,M_ppi_c,0.006142075813464487
C02191,M_ppp9_c,1.6805027132729466
C01079,M_pppg9_c,1.668451336962995
C00536,M_pppi_c,0.01230693994730414
C05629,M_pppn_c,
C03090,M_pram_c,0.05621112224170055
C04302,M_pran_c,0.19021639600094176
C02741,M_prbamp_c,0.27349224711796793
C02739,M_prbatp_c,0.27853383830520606
C15996,M_preq0_c,0.18281231846865031
C16675,M_preq1_c,0.6131411929744979
C04896,M_prfp_c,0.27829179695343376
C04916,M_prlp_c,0.28112448244651533
C00148,M_pro__L_c,0.05670044280010611
C16435,M_pro__L_c,0.05670044280010611
C02702,M_protrna_c,
C00119,M_prpp_c,0.0564012482661469
C01005,M_pser__L_c,0.05332876116138641
C00134,M_ptrc_c,0.09913438637080274
C00647,M_pyam5p_c,0.18006752166430662
C00534,M_pydam_c,0.17870281557552659
C00250,M_pydx_c,0.15037811934957013
C00018,M_pydx5p_c,0.14659919586468284
C00314,M_pydxn_c,0.15357088531398055
C00022,M_pyr_c,0.017532454977775558
C17569,M_q8_c,1.5681077710057112
C00296,M_quin_c,0.059924486314177905
C03722,M_quln_c,0.05738730716227103
C01151,M_r15bp_c,0.05075133187333325
C00620,M_r1p_c,0.04437600664976005
C03736,M_r5p_c,0.04371330449692845
C01007,M_rbflvrd_c,0.47245817307076665
C00508,M_rbl__L_c,
C05775,M_rdmbzi_c,
C03539,M_rhcys_c,0.30862921284036116
C00121,M_rib__D_c,0.042610918776375684
