,JW ID,Blattner ID,Gene Name,Annotation,Growth rate in glucose + AA medium,Location,Transported metabolites,Metabolite class,Class,Mechanism/specific type,Type,Expected direction,TCID,biocyc link,Comment,Paper,Mean protein number fraction (C-lim),Std protein number fraction (C-lim),Detected in fraction of conditions (all),Detected in fraction of conditions (C-lim),"Ribosome profiling number fraction (Li et al., 2014)",log10(Mean protein number fraction),log10(Ribosome profiling)
49,JW0327,b0336,codB,cytosine transporter,0.93,Inner membrane,cytosine,Nucleobase,nucleobase:cation symporter (NCS1) family,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG11327,,https://www.embopress.org/doi/full/10.15252/embj.2021110527,9.543299928921875e-05,9.022976254409232e-05,0.8082191780821918,0.8648648648648649,0.0002605752977464055,-4.02030142685632,-3.584066757314587
50,JW0391,b0401,brnQ,"Branched-chain amino acid transport system 2 carrier protein; LIV-II transport system for Ile, Leu, and Val",0.89,Inner membrane,"L-valine, L-leucine, L-isoleucine",Amino acid,branched chain amino acid:cation symporter (LIVCS) family,Sodium symport,Sodium symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12168,Not verified in E. coli. Disruption of araJ does not h,,5.407211665892042e-06,1.3399798694058436e-05,0.273972602739726,0.16216216216216217,2.968354346770104e-05,-5.267026629586631,-4.527484256472112
51,JW1848,b1859,znuB,zinc transporter,0.81,Inner membrane,Zinc,Other,ABC,ABC,ABC,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12368,Potentially as a negative control,,0.0,0.0,0.0,0.0,5.3501476549568946e-05,,-4.2716342320258525
52,JW3491,b3523,yhjE,predicted transporter,0.77,Inner membrane,,Unknown,MFS,Proton symport,Proton symport,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG12249,,,0.00042662445365579724,0.00011830111634447184,0.8904109589041096,1.0,0.00042303486628562904,-3.3699542548795502,-3.373623836853258
53,JW5250,b1533,eamA,cysteine and O-acetyl-L-serine efflux system,0.71,Inner membrane,"Cysteine, O-acetyl-L-serine, glutamine, asparagine",Amino acid,DMT,Unknown,Unknown,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11639,"Mainly cysteine and O-acetyl-Serine, but efflux of other compunds seen in an overexpression mutant",,0.0,0.0,0.0,0.0,2.772834000575668e-05,,-4.557076129265234
54,JW2154,b2167,fruA,fused fructose-specific PTS enzymes: IIBcomponent/IIC components,0.78,Inner membrane,Fructose,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10336,,,4.5458745370124215e-05,2.7495754888280127e-05,1.0,1.0,3.1816484806934664e-05,-4.342382554672442,-4.4973478043651625
55,JW1807,b1818,manY,mannose-specific enzyme IIC component of PTS,0.78,Inner membrane,Mannose,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=MANY-MONOMER,,,0.00034702614270502174,0.0003093604149983295,0.6712328767123288,0.7837837837837838,0.00036011293951741357,-3.459637807039479,-3.443561273352265
56,JW0665,b0679,nagE,"fused N-acetyl glucosamine specific PTS enzyme: IIC, IIB, and IIA components",0.8,Inner membrane,N-acetyl glucosamine,Sugar,PTS,PTS,PTS,Import,,https://biocyc.org/gene?orgid=ECOLI&id=EG10635,,,9.263760439277017e-05,4.732168217937298e-05,1.0,1.0,3.7859851078255056e-05,-4.03321268432101,-4.421821098666444
57,JW0069,b0070,setA,broad specificity sugar efflux system,0.82,Inner membrane,"Lactose, glucose",Sugar,MFS,Proton antiport,Proton antiport,Export,,https://biocyc.org/gene?orgid=ECOLI&id=EG11754,,,0.0,0.0,0.0,0.0,2.6661865390150653e-06,,-5.574109468564014
58,JW3898,b3927,glpF,glycerol facilitator,0.94,Inner membrane,"Glycerol, glyceraldehyde, glycine, urea",Other,major intrinsic protein (MIP) family,Facilitated diffusion,Channel,Both,,https://biocyc.org/gene?orgid=ECOLI&id=GLPF-MONOMER,"glpFï¿½mutants have impaired growth on low concentrations of glycerol [Richey72].ï¿½glpFï¿½mutants also had reduced uptake of DL-glyceraldehyde, glycine, urea, eryth",,7.42758817959961e-06,3.8214904309644085e-05,0.1643835616438356,0.08108108108108109,1.4219661541413695e-06,-5.129152183592127,-5.847110740627752
