Batch-Tube,ionMz,Strain,AUC Z-score (AUC OD),Z-score start (AUC OD),Z-score end (AUC OD),Z-score min (AUC OD),Z-score max (AUC OD),AUC Z-score (Hours),Z-score start (Hours),Z-score end (Hours),Z-score min (Hours),Z-score max (Hours)
2-10C,322.0444,nagE,1.5072281406083146,-0.7406597925150902,0.5660516769846999,-0.7657236576310511,0.6528683175530465,-3.298941912311824,-0.7402290998361996,0.5654316282698817,-0.7687517010529736,0.6177125024090286
2-10C,323.0285,nagE,-0.9430164697210469,-0.5550475409438382,0.3527194758592454,-0.9094312090217787,0.48507741811760463,-4.148311287509534,-0.5262015002073953,0.3530647256063564,-0.9054786398960258,0.4752928437332266
2-10C,327.0738,nagE,6.658772473556571,-0.8423419281170851,0.6991198874234477,-0.8423419281170851,1.5854291278869364,-0.966645644961678,-0.8508699227947434,0.7115986021101199,-0.8508699227947434,1.3426377743183524
2-10C,328.0452,nagE,6.752373122531083,-0.8938813746455755,1.417475277425794,-0.8938813746455755,1.417475277425794,-0.5967313669052754,-0.8905993296934195,1.4190644096102392,-0.9106064992867207,1.4190644096102392
2-10C,333.0999,nagE,3.266784360782518,-0.7360258676325896,0.7278378725142214,-0.7400309508283534,0.9453289811360909,-2.5800211703121696,-0.7241826551250872,0.7306503587692801,-0.7603363583222096,0.8592608904947318
2-10C,334.0723,nagE,1.0842785178321608,-0.8970220706862224,0.5955443623874392,-0.9007445018665273,0.6017026175878508,-4.515252171536336,-0.8939130082449502,0.5949198569461077,-0.908336661010515,0.5949198569461077
2-10C,337.0545,nagE,-6.4772515645610165,1.8413479011376146,0.0023384216677668768,-0.9445000122351493,1.8413479011376146,3.0004809381107367,2.407364566021392,-0.0015781418213387521,-0.8524112862518476,2.407364566021392
2-10C,338.0392,nagE,0.6671607652835716,0.35754102949777455,1.0518391405335437,-0.4902479430272427,1.0518391405335437,1.1294462726858467,0.837571379449918,1.0500761355066786,-0.4127627464745944,1.0500761355066786
2-10C,338.9888,nagE,5.021441980765348,0.18153131688964405,0.2717057690348609,-0.76017365710386,1.008604260996656,3.1253682674504653,0.3933724264053232,0.27425200089547563,-0.6554001273069044,1.0174328047548515
2-10C,341.1089,nagE,-9.996991854211263,1.5083539689903676,-1.3074885229066437,-1.3074885229066437,1.5083539689903676,-1.519170141560774,1.7399991852926395,-1.3075070061316454,-1.3075070061316454,1.7399991852926395
2-10C,344.04,nagE,7.952888600445055,-0.7643134427160304,1.5520194388169128,-0.784704289683306,1.5520194388169128,0.7477760046989674,-0.7659963576216254,1.5542513765468726,-0.7907049266805488,1.5542513765468726
2-10C,346.0556,nagE,0.19291110385759208,-0.9884692619563975,0.6126032732197937,-0.9900306748621066,0.788674012738343,-5.522823093062671,-0.9886197921522296,0.6080076890540705,-0.9991316220481621,0.7059839699690432
2-10C,347.0398,nagE,-3.839076750001099,-0.3906683049452817,-0.18904915926116225,-0.4953520786532855,0.03577064963254175,-4.857817588571682,-0.38847783325954616,-0.19011817965221348,-0.4983087494561058,-0.01277929313937433
2-10C,348.0874,nagE,-1.2421333175564373,-1.3425295618123387,0.06830737739589876,-1.3425295618123387,0.7068063807720923,-7.3955805119589515,-1.1898385743680941,0.06513643616236608,-1.5066308469258187,0.6032229058348878
2-10C,357.089,nagE,1.2556992010911978,-0.9801532168773984,0.9303184506117275,-0.9801532168773984,0.9303184506117275,-4.952482566627884,-0.8881907159997561,0.9342557025429145,-1.0214324196041797,0.9342557025429145
2-10C,362.0506,nagE,0.7630739982587766,-0.7320952936038136,-0.02392462004426149,-0.7537717377580158,0.8254229283170569,-3.89869135940435,-0.732451606647104,-0.025043463530740856,-0.7560455908449693,0.76492205778682
2-10C,375.131,nagE,4.354608777066057,-0.1479811222100088,0.07321244924645343,-0.8468041046431815,1.0499411757103387,0.6440485952958279,0.020943575531314595,0.08868874716715902,-0.9317069020269088,0.9996365421282347
2-10C,383.1181,nagE,-8.9926127451367,2.258855929012203,-1.4727631800526884,-1.4727631800526884,2.258855929012203,0.08840755282417057,2.592350843623313,-1.4646527859312117,-1.4646527859312117,2.592350843623313
2-10C,386.999,nagE,6.8802724049088955,0.3167049088180083,0.3554928035379853,-0.769363671356487,1.4613877700152318,6.210222421453208,0.1852151736118769,0.39232079365106887,-0.6649853450245333,1.4147341069964032
2-10C,388.9444,nagE,8.275798791900018,-0.0038865794045175317,1.044852781302209,-0.7917553535530423,1.6375789613958236,3.182013444318883,0.15102806575873645,1.0536009762650553,-0.7742684569137941,1.4216874534085702
2-10C,401.0173,nagE,-0.4169608801593746,0.9316893818596241,-0.29567943962161647,-0.7741193993968677,0.9316893818596241,4.33736520393748,0.81555078866889,-0.27227680153488865,-0.6570243729329422,1.0273329252794732
2-10C,402.0107,nagE,7.4430292939227485,-0.7013019704239053,1.23009542005991,-0.9200680438990652,1.602271319624874,0.1979523944536383,-0.4813149066267714,1.2577132223121696,-0.9391291105981309,1.501687937365991
2-10C,402.9949,nagE,2.7150499504051075,0.4054898577785366,0.8982741386144516,-0.9396586343216103,1.06911917885553,3.060007995420303,0.4090365440761035,0.9132934864154146,-0.787969877393821,0.9132934864154146
2-10C,426.0221,nagE,5.0382165026185755,-0.9456194832895558,0.507825125416429,-1.0123238620617916,1.0773070730313403,-2.3828258779821785,-0.9360537775331693,0.5135409015584174,-1.0297769161254142,1.1027006087922306
2-10C,442.0169,nagE,8.378851211686424,-0.5406576541652828,0.988196669991106,-0.8868423112156771,1.7845513478072494,1.28438005897635,-0.4887199924748782,1.0132825854577046,-0.8941017573891895,1.629830444082733
2-10C,443.0014,nagE,-1.7431293493446673,0.9576682543091825,0.4864940198680551,-0.7145972808046873,0.9576682543091825,3.561154973536971,0.8777207462471511,0.470560625893585,-0.5911952788857191,0.893977087602332
2-10C,466.9674,nagE,-8.062308689463544,1.577575581758799,-1.0071536743633716,-1.0071536743633716,1.577575581758799,2.0357890919764223,1.647358212822156,-1.0071494356738655,-1.0071494356738655,1.647358212822156
2-10C,481.9773,nagE,-5.692974757094039,1.0839822137229524,-0.5101194474722779,-0.915948504406784,1.0839822137229524,1.5229040979909487,1.1272579986217643,-0.5132133017256068,-0.6975880708820784,1.130101590279294
2-10C,482.9616,nagE,-7.3106009101623615,1.7794495960807502,-0.9511232365707096,-0.9511232365707096,1.7794495960807502,3.5436527639951305,1.7904195280619684,-0.9508367458509875,-0.9508367458509875,1.7904195280619684
2-10C,503.1623,nagE,-8.612229115102979,1.7702808105883325,-1.0812948824813213,-1.0812948824813213,1.7702808105883325,1.1103872348548793,2.306968428896787,-1.0815469497156773,-1.0815469497156773,2.306968428896787
2-10C,505.9887,nagE,3.6794004117329075,-0.8187197621687664,0.44957992556397763,-0.8187197621687664,1.0508526331447623,-2.0792247124397267,-0.7752646434705088,0.4665414014336711,-0.9721789573945941,0.9059068526852302
2-10C,521.9834,nagE,7.347782053094303,0.3073594671353317,0.12551787120330515,-0.3243199568140182,1.4176890267570392,5.18995833025494,0.47775624472983497,0.1564974893616764,-0.31018089915217295,1.1681902488470375
2-10C,547.0754,nagE,-0.8747930075825778,-1.4851261915900584,0.20915096887556506,-1.4851261915900584,0.3642719304755309,-8.074454455922071,-1.4934658318626008,0.2067362441395198,-1.4934658318626008,0.30777822301500957
2-10C,563.0683,nagE,-5.7025815699991185,2.0285383450288514,-0.7230131407384919,-0.7230131407384919,2.0285383450288514,4.163511703522743,2.442428083213707,-0.7222817642539812,-0.7222817642539812,2.442428083213707
2-10C,565.0479,nagE,-1.8182554422031698,-0.7734554914596543,0.052026490983116125,-0.9891417217350117,0.5253174459045351,-6.479175437296562,-0.6032449065916634,0.0494862314860953,-1.0549304283067462,0.4015925114223795
2-10C,578.8873,nagE,-6.6234291665368055,1.8269680760619287,-0.7347036690270897,-0.8254783637220963,1.8269680760619287,3.354716700009982,2.3266692568672322,-0.7341822426430678,-0.8185012795008451,2.3266692568672322
