Batch-Tube,Timepoint,ionMz,Z-score median,Z-score std
5-12A,2.0,137.0239,0.03552621476493496,0.12409614052633114
5-12A,2.0,138.9789,1.5693778310397455,0.1884353374174792
5-12A,2.0,139.0014,-0.34477824532385537,0.04377734226755968
5-12A,2.0,139.0067,-0.6926151182266682,0.020030183058730187
5-12A,2.0,139.976,0.30794106846110314,0.8002943466432749
5-12A,2.0,143.0713,1.599331138721769,0.380546138472648
5-12A,2.0,143.1077,0.8224565837798226,0.500811978654481
5-12A,2.0,145.0141,-0.21677639085574243,0.08404677751188466
5-12A,2.0,145.0506,-0.8196542123335633,0.12760222117523268
5-12A,2.0,145.0623,-0.3586597230465337,0.11146391670921944
5-12A,2.0,145.0982,0.14873533940906974,0.28979603582558694
5-12A,2.0,145.1106,0.3987257730727216,0.8337277863164532
5-12A,2.0,146.0459,-0.5031688616944219,0.005460279819693931
5-12A,2.0,147.0298,-1.0010871383758027,0.0052102627899458485
5-12A,2.0,147.0662,-1.4679047605918274,0.015410867562559279
5-12A,2.0,149.0092,1.085874397097505,0.7881556446709882
5-12A,2.0,149.0456,1.3178172262859813,0.1695216272091568
5-12A,2.0,149.0608,0.8453895141404345,0.35822897037700824
5-12A,2.0,150.0422,-0.44646567315912866,0.38067976042334223
5-12A,2.0,150.9707,-0.06631120688628435,0.43500175212866155
5-12A,2.0,151.0259,-0.7272711220978754,0.08351944967808325
5-12A,2.0,151.04,0.49469364546505507,0.5959916979339166
5-12A,2.0,151.06,-0.1806185471763041,1.1280044378118055
5-12A,2.0,152.0353,0.24235881299471307,0.36868017319130414
5-12A,2.0,152.0716,1.5675772361352345,0.5993048650007354
5-12A,2.0,153.0192,-0.3558855866374814,0.048184099272061486
5-12A,2.0,154.062,-0.14155749711583773,0.1169258095419127
5-12A,2.0,154.9751,-1.001758860772579,0.0067672240930472215
5-12A,2.0,155.0099,-1.1742741368362282,0.004612614822097821
5-12A,2.0,157.0128,-0.9595218851653551,0.050163613270271676
5-12A,2.0,157.0255,-1.3338615154004096,0.005572799040855137
5-12A,2.0,157.0379,-1.3745186776878429,0.02101143574125137
5-12A,2.0,157.0504,-1.1806405285134955,0.04083411394256903
5-12A,2.0,159.0297,1.1051665918591942,0.3823246833200031
5-12A,2.0,159.0775,-1.2022171368954058,0.021966619422628914
5-12A,2.0,160.0616,-0.9951287176637262,0.2139310643559734
5-12A,2.0,161.0453,1.4748823059557634,0.23762193925220973
5-12A,2.0,162.0424,-1.2053117857099571,0.20785917243221927
5-12A,2.0,163.0351,-0.9212312762726089,0.11247667397174638
5-12A,2.0,163.0398,0.3468056875274976,0.217739677450416
5-12A,2.0,163.0611,0.20324701005663448,1.1019001282937504
5-12A,2.0,164.0716,-0.2528027624384245,0.09088653788353955
5-12A,2.0,165.03,0.9791792489357348,0.3604832420301017
5-12A,2.0,165.0405,0.9882669849650443,0.5621036297195635
5-12A,2.0,165.0556,-0.4623482339848493,0.05372016818537831
5-12A,2.0,166.0508,-0.7055107464081496,0.27080686816098226
5-12A,2.0,166.0632,-0.14175744614154304,0.548990883649266
5-12A,2.0,166.9759,-0.8843683760592593,0.15081325998775028
5-12A,2.0,167.0207,0.07688013331521312,0.11499748912260052
5-12A,2.0,167.0358,1.6541948884115287,0.26119742742405955
5-12A,2.0,167.0828,1.715406695549577,0.7301925391716347
5-12A,2.0,168.0277,-0.49665459915531135,0.026043957997933527
5-12A,2.0,168.0664,1.637453321551177,0.8243690135764209
5-12A,2.0,170.0455,-0.8483355017244176,0.02198925519731811
5-12A,2.0,171.0065,-1.0247380206398295,0.12162518650967591
5-12A,2.0,171.0092,-1.1965487288814574,0.20984189956258384
5-12A,2.0,171.0284,-0.9044146973602545,0.06180145297432476
5-12A,2.0,172.0616,-1.3033996068520552,0.08077707440418032
5-12A,2.0,172.962,-0.4552019007154253,0.12415683721101069
5-12A,2.0,173.0089,-0.8688285213502338,0.12200191125428046
5-12A,2.0,173.0453,-0.8843418301311345,0.10104003290886208
5-12A,2.0,173.0932,-0.8666446624948207,0.047784057990590156
5-12A,2.0,173.1041,0.18180784246620207,0.3860510298031165
5-12A,2.0,174.0407,-1.0060634357194926,0.002680743494391892
5-12A,2.0,174.088,-0.7205026549225131,0.19208286604414748
5-12A,2.0,175.022,-0.8477832863441261,0.10271999326622085
5-12A,2.0,175.0361,-1.2350935494259483,0.007708791716677101
5-12A,2.0,175.0611,-1.25736130290841,0.006236442569065813
5-12A,2.0,176.0776,-1.0820531440578158,0.18225916364516023
5-12A,2.0,177.0402,0.47003334232811467,0.19022510280000882
