,Strain,ionMz,Rel. abs. distance,Rel. distance,Mean abs. distance,Mean distance,MAE1,MAE2,Mean MAE,Strain 1,Strain 2,p-value rel,p-value abs
131,yeaS,188.0566,0.6922907931874644,0.6922907931874644,0.09457270505341721,0.09457270505341721,0.1552653509700622,0.11795135502708952,0.13660835299857585,yeaS,WT,0.014,0.401
132,yeaS,189.0022,1.0558044933594941,-1.0558044933594941,0.20525212379197327,-0.20525212379197327,0.21233015736567332,0.17647690887227335,0.19440353311897335,yeaS,WT,0.001,0.013
133,yeaS,189.0404,0.5672449545919387,0.5432100003135488,0.2417693043271962,0.2315252040872875,0.5448837451794906,0.30754976655132343,0.42621675586540697,yeaS,WT,0.078,0.294
134,yeaS,189.088,3.7266332518993206,-3.7122100496572554,0.3584797138863703,-0.357092288544629,0.08497268824226703,0.10741528752844615,0.09619398788535659,yeaS,WT,0.0,0.0
135,yeaS,190.055,0.5598889737786296,0.4655981315435262,0.12374903750450601,0.10290847532423213,0.20882133839048772,0.23322715086386311,0.2210242446271754,yeaS,WT,0.109,0.321
136,yeaS,191.0196,0.45502401149115557,-0.06783065965501969,0.06292264904710315,-0.009379911135061633,0.16964313309904253,0.10692534442327477,0.13828423876115864,yeaS,WT,0.449,0.806
137,yeaS,191.0561,1.6142384153785376,1.1882647053138236,0.3001485212496627,0.22094375326179735,0.2521420880197714,0.11973423259087161,0.1859381603053215,yeaS,WT,0.002,0.0
138,yeaS,192.0666,0.3366480671591926,0.12743993669072692,0.11544605982244385,0.043702726943057026,0.34450651166923146,0.3413495563405234,0.3429280340048774,yeaS,WT,0.333,0.792
139,yeaS,193.0352,0.33685025806880614,-0.32378067138309724,0.11779014581983129,-0.11321995926174315,0.36233675773565216,0.3370253059607401,0.3496810318481961,yeaS,WT,0.116,0.718
140,yeaS,193.0719,0.46525132456865775,0.3444536446043591,0.08168007444131828,0.06047269045166474,0.1674949083889577,0.18362746409238984,0.17556118624067377,yeaS,WT,0.141,0.542
141,yeaS,194.0686,1.7449321709868815,-1.5245533811005751,0.34319126127614574,-0.2998474132360142,0.1909511142565782,0.20240659555290624,0.19667885490474224,yeaS,WT,0.0,0.0
142,yeaS,195.0508,1.0033781796063315,-0.3332228285717076,0.19952792117676893,-0.06626340857805127,0.18832684990812887,0.20938544886849458,0.19885614938831173,yeaS,WT,0.208,0.036
143,yeaS,198.088,1.5319852996725059,1.5319852996725059,0.6832379431791143,0.6832379431791143,0.5561520241586599,0.3358120740936807,0.44598204912617034,yeaS,WT,0.001,0.001
144,yeaS,199.0014,1.1317150283253636,1.1129891381380679,0.28633168931951786,0.2815939102522254,0.2675114249785755,0.2385023367070184,0.25300688084279693,yeaS,WT,0.002,0.016
145,yeaS,199.1703,0.42906491826353566,0.34247866882775707,0.07803337653333399,0.06228606856843225,0.21887185680576624,0.1448650660316547,0.18186846141871046,yeaS,WT,0.16,0.59
146,yeaS,203.0348,1.5084897188248454,-1.4635159273027478,0.40236893410092095,-0.39037279230996413,0.3006954074864144,0.23277714997241572,0.2667362787294151,yeaS,WT,0.001,0.001
147,yeaS,203.0824,0.8254509894867423,0.8254509894867423,0.24409161003594593,0.24409161003594593,0.311774474028572,0.27963946367285303,0.2957069688507125,yeaS,WT,0.005,0.044
148,yeaS,204.0508,0.7061489128111131,-0.7061489128111131,0.16681433921744598,-0.16681433921744598,0.22845405936683819,0.24400815417215493,0.23623110676949655,yeaS,WT,0.018,0.106
